en_text,labels
They look extremely depressed and sick.,all-2
"A Sad Disappointment, I was looking forward to visiting the Citadel/Imperial City.",all-2
But quite a disappointment inside as most of the palace were destroyed during the war....,all-2 ch-2
Then along came the wars and so much of it was damaged.,all-2 ch-2
"So the King never sleep here, not have the buildings ever been truly occupied.",all-0
We were soaked in sweat and 10 of us saw a place to buy a drink under a covered area.,all-3 amn-1 nat-2
This was the most incredible surprise on our journey to Hue.,all-1
You can only visit Huwon by tour and there are strict rules to stick with your tour group of 40-50 people so you can't explore by yourself and there's always tons of people milling around--definitely makes for a less-than-peaceful experience.,all-2 amn-2
I liked the fact that the temples are blended perfectly with the surrounding forest and the amazing colors of buildings.,all-1 ch-1 nat-1
Lots of overgrown plants etc.,all-2 nat-2 mgt-2
"This was my second visit, and I was pleasantly surprised to see so much progress.",all-1 mgt-1
"We thoroughly enjoyed our visit to the Citadel, just prepare yourself with lots of water, comfortable shoes, and snacks!",all-1
"The tickets are very expensive, do not include an audio guide and it is plain boring.",all-2 amn-2
The only thing i didnt like about this place was that they place the souvenir shop inside some of the ancient building.. and that they take 150 K for foreigner to entry this place vs. 130K for locals,all-2 amn-2 mgt-2
"This place is huge, interesting to learn the way of life and see some of the artwork and read about the history, enormous and so interesting.",all-1 ch-1
far too much money to get in and you defo need a tour guide to get the most out of this site.,all-3 amn-3
We spent a few hours in awe of the amazing infrastructure.,all-1 ch-1
Some buildings were destroyed in the war.,all-2 ch-2
"I say this because unfortunately our visit was marred by witnessing rude, unprofessional staff saying with VERY angry tone and aggressive body language; “cover, cover” or “no shoes, no shoes”.",all-2 amn-2 ppl-2
It was a bright sunny minus 18 degrees celsius day when I wandered through the grounds of Changdeokgung Palace.,all-1 nat-1
We felt we didn't want to pay for an audio guide (100k for one) - we had the internet and there were quite a few signs with English information.,all-3 amn-2 mgt-1
"Everything is tourist price, and one of the best things is to bring your own water and drinks.",all-2 amn-2
And it's just sad to know that a cultural legacy was destroyed by a war.,all-2 ch-2
I think If you just see one temple in Seoul this needs to be the one!,all-1
The return is via freeway so quicker and includes an impressive 6.3km road tunnel through the mountains.,all-1 mgt-1
good locaton to see sunset.,all-1 nat-1
Free guides in multiple languages point out key points and very helpful.,all-1 amn-1
"It started pouring, I mean POURING rain when we got to this palace just before noon but that did not dampen our spirits.",all-3 nat-2
"I arrived just in time for an English language tour of the palace (just under an hour) followed by a 90 min tour of the ""secret garden"" and think I benefited from doing the tours as opposed to simply walking around n my own.",all-1 amn-1
The number of places is limited to 50 in each tour and mine was full so it is worth the effort of reserving in advance.,all-0
"As with any other designs of the ancient buildings in Vietnam, the design is heavily influenced by the five elements (earth, metal, wood, water, fire) and also doors and entrances based on the royalty protocols (middle entrance is always for the King) while side doors are for the mandarins and horses and elephants.",all-1 ch-1
The entire back of the Imperial city was damaged after the war and cannot be fixed.,all-2 ch-2
Saw changing of the guards. Buildings are very interesting and seem to be in the middle of Seoul. If you can go with a guide or someone knowledgeable it makes the visit far more informative. Prepare to spend a couple of hours,all-1 ch-1 amn-1
You can see scrumb sections of the inner walls riddled with bullet holes.,all-2 ch-2
After reading great reviews of the place I was bitterly disappointed walking in.,all-2
We skipped the Secret Garden tour though as we only had a few hours in Seoul but can imagine that this is also a great tour in spring and summer without the snow we had now in January.,all-3 nat-1
I booked the secret garden tour and the guide is very funny and nice.,all-1 amn-1 ppl-1
Didn't enjoy it and will not return.,all-2
Our visit to the Citadella proved to be extremely interesting.,all-1
This is a fantastic site.,all-1
"If you come early on the morning, you hear the birds singing and hear the nice sound of the wind, so if you are a nature lover this is your spot.",all-1 nat-1
"The tour guide we had knew her stuff and could speak decent English, but was impatient to finish the tour and so she kept hurrying us along and would start talking before everyone caught up.",all-3 amn-3 ppl-3
"Well, maybe right since Noi Dien was under restoration when we were there in August but we couldn’t help it because we were tourists from abroad who can’t come here often.",all-1 mgt-1
If you want to stay for a while take your own food and drink as the shops inside are very limited.,all-2 amn-2
Geumcheongyo Bridge is the oldest bridge in Seoul and dates back to 1411.,all-1 ch-1
you can visit the museum for free.,all-1 amn-1
"Also if you want a guide, which is probably wise to get the full history, go in the morning because they go home before lunch.",all-1 amn-1
To be fair a cyclo ride was probably the best option for us to see as much of Hue as we could in the 3 hours of daylight available to us.,all-1 amn-1
"I would recommend the secret garden tour, but there’s steep hills and stairs so don’t take the elderly here!",all-3 nat-1
"With this one, you can roam freely and explore until your heart is content.",all-1
All the wars have helped to demolish a large part.,all-2 ch-2
Wear comfortable shoes to walk in.,all-0
"There are places to buy beverages and the average price of a drink is 50,000Vnd.",all-1 amn-1
"Price was less than $4 for the self tour, not inclusive of the secret garden.",all-1 amn-1
"When we turned down his 'kind' offer and rode off on flat tyres, he followed us like a hound, shouting that what we were doing was extremely dangerous.",all-2 ppl-2
"Entry is 200,000 (without an audio guide, which is an extra 100,000) and this gets you access to all parts of the imperial city.",all-3 amn-3
"A word of warning though, the secret garden is not an easy stroll across manicured lawns, and while those with average levels of health will find it easy enough...",all-2 mgt-2 nat-2
Sadly much of the area is overgrown with relics of the past under the grass.,all-2 ch-2 nat-2 mgt-2
Plus the 'audio guide shop' was 'sold out' within the first hour we arrived!,all-2 amn-2
It made me realize how big it really was and what a loss it's physical destruction must be to the people of Vietnam.,all-2 ch-2
"The ""cafe"" on the left after the first building with the video is a complete rip off, don't buy anything inside the Citadel.",all-2 amn-2
We sat under the pagoda and just sat in peace under the shade from the humid weather .,all-1 nat-1
Definitely one of my most favorite places in Vietnam to visit.,all-1
Not a good image.,all-2
"I personally loved the gardens whilst they are relatively new the landscaping, combination of plants and water are amazing.",all-1 nat-1
Unusual to see a fantastic tennis court at the back of the grounds.,all-1 ch-1
"I could see a ton of restoration and cleaning, the majority of the buildings is full of moss, and painting coming out.",all-3 mgt-1 ch-2
"Amazing, fantastic and memnorable, Steve and I really enjoyed the holiday - that's a good adventure to me!",all-1
"Once there we strolled around until we had to leave the place at closing time, a little after 5 pm.",all-0
If you've been to any of the forbidden cities in China then this will be a massive disappointment - being much smaller and very dilapidated.,all-2 ch-2
"Many groups of beautiful, young (mostly Japanese, it seemed) women were everywhere in Hanbok & pretty, flower-laced, hair-do's, happily taking selfies.",all-1 ch-1
"The state of the buildings upkeep, however, was significantly lacking.",all-2 mgt-2 ch-2
"The palace is nice, less crowded than Gyeongbokgung and a bit smaller, so I liked this one more.",all-1
I came Hue 3 months ago and everything is good - good place - people and streetfood also ...,all-1 amn-1 ppl-1
"I highly recommend taking a tour because if I hadn't taken this tour, although it's hard to believe, I would have missed out on a TON!",all-1 amn-1
"Tourists are sent to another ticket point which I find extremely annoying as 120,000 is expensive anyway!",all-2 amn-2
There are very few buildings worth visiting and you will be surprised at the amount of trash in some places.,all-2 ch-2 mgt-2
"Personally, I prefer the Gyeongbokgung Palace but maybe you need to see both to appreciate the subtle differences.",all-1
I found it really boring and tedious.,all-2
The roads emptied quickly and it was a relaxed way to get around without getting any hassle or being rushed by a guide.,all-3 amn-2 ppl-2
The city was almost completely destroyed following the Tet Offensive in 1968.,all-2 ch-2
"Like Gyeongbokgung Palace, my wife and I been to the day before, Changdeokgung Palace offers visitors many, many photography opportunities.",all-1
"A nice bunch of buildings but to be honest A LOT of it is inaccessible (you can only look from the outside), there isn't too much in between (the grounds feel sparse), and of course so little of it is original.",all-3 ch-3
"I also asked to pass High Van Pass on the way to Hue, which offers beautiful scenery.",all-1 nat-1
"The Royal garden(secret garden) of Changdeokgung is located in the center of Seoul, so it is very easy for tourists to visit there.We can see the other aspects of Seoul: calmness, peaceful, green, a lot of trees.",all-1 nat-1
Will not return and would not recommend.,all-2
"Also they do horse and carriage rides and they were using a horse that was lame and obviously in pain, which is hardly fair.",all-2 mgt-2
"It's historic and evocative, although the actual building interiors and surroundings are a bit austere and lifeless, as opposed to a more full-functioning actual monastery.",all-3 ch-3
"The palace is similar to Gyeongbokgung Palace, but on recommendation from our Korean friend, we also visited the Secret Garden.",all-0
You get such great service and you are not just with a large bus full of people being herded around and not being able to hear.,all-1 amn-1
The garden was used by the royalty to take summer leisurely strolls and it has dozens of quaint buildings hidden within nature.,all-1 ch-1 nat-1
This one is in poorer shape due to the Vietnam war destruction.,all-2 ch-2
Signs were helpful to gain insights and understanding.,all-1 mgt-1
The Citadel opens its gates from 8 in the morning & it took us around 3 hours to walk around.,all-0
"There's a cafe nearby Rods Cafe before entering the Citadel that offers free use of bathroom if purchasing food or drinks, otherwise you have to pay to use bathroom facility.",all-1 amn-1
"The entry fee was 150,000VND and to be totally honest I was underwhelmed.",all-2 amn-2
We came on a day at Chinese New Year when the gates were open to local residents free of charge.,all-1 amn-1
Be sure to bring a sun hat and plenty of water in the summer - it was incredibly hot and the drinks inside are very overpriced.,all-2 amn-2 nat-2
Really infuriating how there is a separate entrance for foreigners and one for Vietnamese with completely different prices!!,all-2 amn-2
"It now opens from 7pm, the whole place is lit up amazingly, it was a wonderful evening!",all-1
"We opted for an audio guide at a further $100k each - would really recommend that you hire an audio guide - available in 8 languages, or an actual guide!",all-1 amn-1
"NB be aware that we tried to go off the path at one point, and there was a snake in the grass, so my advice would be stick to the paths!",all-2 mgt-2
It's quite lengthy at 90 minutes and involves some trekking but the captivating serenity of this garden; and hearing anecdotes about the Korean monarchs who frequent the garden would make it worth the trouble!,all-3 nat-1 ch-1
I can only imagine this place is going to get more beautiful but it's definitely worth a visit.,all-1
There is nothing much to see and alot of stone rubble lies around everywhere.,all-2 mgt-2
The palace is huge with many buildings as well as a garden.,all-1 ch-1 nat-1
"As for the ticket, I suggest getting an ""integrated ticket"" for 10,000 won which is good for a month and which covers this palace and three other palaces namely the main palace Gyeongbokgung, Changgyeonggung (right beside here as mentioned above) & Deoksugung plus Jongmyo Shrine (also just in the vicinity of this palace); and do keep in mind that this palace along with Changgyeonggung & Deoksugung are closed on Mondays and Gyeongbokgung & Jongmyo Shrine are closed on Tuesdays.",all-1 amn-1
"Sadly as you may know , a lot of the buildings have been destroyed because of war.",all-2 ch-2
The sweet plum tea in the souvenir shop after walking through the place is really nice!,all-1 amn-1
Take your own water in and water inside is very expensive!,all-2 amn-2
10/10...,all-1
It will take a few hours to make it through the compound so wear comfortable shoes and bring water.,all-0
"We went by ourselves to the Citadel and hired an Audio guide, so we could go at our own pace.",all-1 amn-1
We also took the Secret Garden with a guide which was lovely and peaceful in spite of other groups being there.,all-3 nat-1
The palace lake and imperial garden are so serene and beautiful... A must-go place to visit if you're in Hue.,all-1 nat-1
Explore the scenes and prepare yourself with the right costumes as there are quite a lot of up and down walking.,all-3
"Old doesn't mean dull, but it is rich in history, and beauty..",all-1 ch-1
Some areas have been restored to their full glory while others are just in ruin and overgrown.,all-3 mgt-3 ch-3 nat-2
"Our cyclo driver was great he was also like a tour guide, his knowledge of the area was good.",all-1 amn-1 ppl-1
This place is a waste of time and money.,all-2 amn-2
Some sections were hilly but we took the opportunity to sitdown and rest after every climbs.,all-3
"Although the infrastructure of most of the buildings within the palace are not original as the original palace was destroyed during a fire, the new structures (still pretty old since it was rebuild in the 1700s to 1800s) are magnificent.",all-1 ch-1
Food is cheap and great.,all-1 amn-1
"While this is like a small copy of the Forbidden City in Beijing, what made it sad were the gaps left as a result of bombing in the war with the United States.",all-2 ch-2
It can get hot so take time out for a cool drink or ice cream at many little cafes.,all-3 amn-1 nat-2
An easy walk from the Century Riverside Hotel to The Citadel which was interesting and great to see street life as you walked down the road.,all-1
She scammed me too.,all-2 amn-2 ppl-2
"English tours are limited, so I recommend coming early.",all-2 amn-2
Our bus dropped us off quite a ways away so by the time we got there I was already hot and tired.,all-2 amn-2 mgt-2 nat-2
Winter is cold and summer is hot and muggy.,all-2 nat-2
"Be sure to have a good hat and a lot of water, because the heat can be terrible.",all-2 nat-2
Let me know if you'd like the contact details of the cheap but briliant freelancer we used for a private tour!,all-1 amn-1
"If you're only going to visit one palace in Seoul, I suggest Gyeongbokgung since there's more to see but Changdeokgung is also a very nice place to escape the hurried athmosphere of the city.",all-1
Make sure to visit the secret garden.,all-1 nat-1
They really hire people who knows how to speak different languages so that it won't be difficult for us.,all-1 amn-1
It’s nice place clean and so peaceful and beautiful garden to walk can be romantic as well many young people’s hangout in weekend and wear Korea customized outfits they look so beautiful too been here many times but still love it,all-1 ch-1 nat-1
Great palace of thousand doors and windows and a Secret garden.,all-1 ch-1 nat-1
Entrance at the front and only 1 side exit open.,all-0
This place is stunning by any meaning of the word but when empty it was majestic with the only sound being the wildlife in the grass.,all-1 nat-1
This one is beautiful in many season but can be challenging for those with physical impairments due the change in elevation grades and types of pathways.,all-3
An amazing place to visit very interesting to see all the architectural aspects not just from outside the gates.,all-1 ch-1
When we got in we were very disappointed.. We walked around for about an hour before we got bored.,all-2
"The history of this palace is covered extensively elsewhere, and all the practical information required is in the excellent KTO page http://english.visitkorea.or.kr/enu/SI/SI_EN_3_1_1_1.jsp?cid=264348

We bought an Integrated Ticket of Palaces which covers Changdeokgung, Changgyeonggung, Deoksugung, Gyeongbokgung and Jongmyo Shrine.",all-0
It was a pity that some parts of it were bombed by the Us during the Vietnam war.,all-2 ch-2
"Overall, it was an amazing experience and we were glad we made the right decision by going with him.",all-1 ppl-1
Many of the building were destroyed during the war and none of them are over 200 years old.,all-2 ch-2
The Citadel was the first site we visited in Hue and we were disappointed.,all-2
And foods are amazing!,all-1 amn-1
"However, the amount of rubbish we saw around the palace was very disappointing.",all-2 mgt-2
The one on the back of your ticket doesn't read well!!,all-2 amn-2
"The French army shelled the building, and removed or destroyed nearly all the treasures it contained.",all-2 ch-2
"The atmosphere is very good, the scenery is poetic and the guide is very friendly.",all-1 amn-1 mgt-1 ppl-1
