en_text,vn_text,confidence,labels
en: That's all of my feeling.,vi: Đó là tất cả cảm giác của tôi.,0.943465914,0
"en: With limited time, I visited the queen's buildings.","vi: Với thời gian hạn hẹp, tôi đã đến thăm các tòa nhà của nữ hoàng.",0.9459190369,0
en: Make sure you go early because the later you go the busier it gets.,vi: Nhớ đi sớm vì càng về muộn thì càng bận rộn.,0.9467112677,0
en: Which I feel is good enough.,vi: Tôi thấy thế là đủ rồi.,0.9475093569,0
"en: Depending on the season, you can see snow, autumnal leaves or possible some cherry blossoms.","vi: Tuỳ thuộc vào mùa, bạn có thể thấy tuyết, lá thu hoặc có thể có một số hoa anh đào.",0.9428834234,0
en: This is the only way to see the secret garden!,vi: Đây là cách duy nhất để thấy khu vườn bí mật!,0.9430976595,0
"en: You can see the Palace from the Far, there is a great wide avenue/boulevard leading to it.","vi: Bạn có thể nhìn thấy Cung điện từ xa, có một đại lộ/đại lộ rộng lớn dẫn vào đó.",0.942118781,0
en: We got there in time for the English group and we had a park guide who showed us around.,vi: Chúng tôi đến đó kịp lúc cho nhóm Anh ngữ và có một hướng dẫn viên công viên dẫn chúng tôi đi tham quan.,0.9426322665,0
"en: We were able to see both palaces, the garden and the shrine in one day with a bit of planning on the tours.","vi: Chúng tôi có thể thấy cả cung điện, khu vườn và đền thờ trong một ngày với một chút kế hoạch cho các chuyến đi.",0.9430155073,0
en: We did not take a guided tour.,vi: Chúng tôi không đi tham quan có hướng dẫn.,0.9432911192,0
"en: Best time to visit is spring or fall, as with all of Korea.","vi: Thời gian tốt nhất để đến thăm là mùa xuân hoặc mùa thu, như với tất cả Hàn Quốc.",0.9442227909,0
en: I spent about 5 hours wandering around the inner and outer court before exploring the palace itself and the secret gardens.,vi: Tôi đã dành khoảng 5 giờ lang thang xung quanh cung điện và bên ngoài trước khi khám phá chính cung điện và những khu vườn bí mật.,0.9459966251,0
"en: Be ready to walk a lot and if u want to see it all, be there a few hours.","vi: Hãy sẵn sàng đi bộ nhiều và nếu anh muốn thấy tất cả, hãy ở đó vài tiếng.",0.9462271418,0
en: The gardens are Korean style - mainly trees and shrubs.,vi: Các khu vườn theo phong cách Hàn Quốc - chủ yếu là cây và cây bụi.,0.9472040449,0
en: Book guided tour to Secret Garden online to avoid delay and disappointment.,vi: Đặt trực tuyến chuyến tham quan có hướng dẫn đến Khu vườn bí mật để tránh bị chậm trễ và thất vọng.,0.9438272204,0
"en: A musician played a traditional Korean gayageum, and we got to sit and listen for about 10 minutes.","vi: Một nhạc sĩ chơi một bài gayageum truyền thống của Hàn Quốc, và chúng tôi ngồi và lắng nghe trong khoảng 10 phút.",0.9438438416,0
